<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,TOR,NBA,SF,50,49,1760,345,766,.450,19,66,.288,326,700,.466,.463,204,268,.761,94,189,283,149,55,77,110,140,913
1999-00&nbsp;★,23,TOR,NBA,SF,82,82,3126,788,1696,.465,95,236,.403,693,1460,.475,.493,436,551,.791,150,326,476,322,110,92,178,263,2107
2000-01&nbsp;★,24,TOR,NBA,SF,75,75,2979,762,1656,.460,162,397,.408,600,1259,.477,.509,384,502,.765,176,240,416,291,114,82,167,205,2070
2001-02&nbsp;★,25,TOR,NBA,SG,60,60,2385,559,1307,.428,121,313,.387,438,994,.441,.474,245,307,.798,138,175,313,239,94,43,154,191,1484
2002-03&nbsp;★,26,TOR,NBA,SG,43,42,1471,355,760,.467,45,131,.344,310,629,.493,.497,129,160,.806,59,129,188,143,48,41,74,121,884
2003-04&nbsp;★,27,TOR,NBA,SG,73,73,2785,608,1457,.417,93,243,.383,515,1214,.424,.449,336,417,.806,95,254,349,348,88,65,223,212,1645
2004-05&nbsp;★,28,TOT,NBA,SF-SG,77,76,2828,696,1541,.452,127,313,.406,569,1228,.463,.493,367,460,.798,106,295,401,327,109,48,168,243,1886
2004-05&nbsp;★,28,TOR,NBA,SG,20,20,608,124,302,.411,19,59,.322,105,243,.432,.442,50,72,.694,28,38,66,61,25,15,22,56,317
2004-05&nbsp;★,28,NJN,NBA,SF,57,56,2220,572,1239,.462,108,254,.425,464,985,.471,.505,317,388,.817,78,257,335,266,84,33,146,187,1569
2005-06&nbsp;★,29,NJN,NBA,SG,79,79,2906,653,1518,.430,125,367,.341,528,1151,.459,.471,480,601,.799,135,327,462,338,94,53,213,235,1911
2006-07&nbsp;★,30,NJN,NBA,SG,82,82,3126,726,1598,.454,156,437,.357,570,1161,.491,.503,462,576,.802,114,378,492,393,82,30,217,266,2070
2007-08,31,NJN,NBA,SG,76,72,2959,587,1287,.456,98,273,.359,489,1014,.482,.494,350,429,.816,112,341,453,389,93,33,181,241,1622
2008-09,32,NJN,NBA,SG,80,80,2946,588,1345,.437,151,392,.385,437,953,.459,.493,335,410,.817,74,336,410,376,82,38,166,234,1662
2009-10,33,ORL,NBA,SG,75,74,2310,434,1015,.428,119,324,.367,315,691,.456,.486,257,306,.840,33,260,293,236,53,18,106,189,1244
2010-11,34,TOT,NBA,SG,73,63,2051,389,891,.437,116,321,.361,273,570,.479,.502,128,173,.740,54,221,275,146,67,20,90,193,1022
2010-11,34,ORL,NBA,SG,22,22,664,125,266,.470,27,78,.346,98,188,.521,.521,56,75,.747,11,79,90,64,20,3,36,70,333
2010-11,34,PHO,NBA,SG,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689
2011-12,35,DAL,NBA,SG,61,40,1542,223,542,.411,74,205,.361,149,337,.442,.480,95,115,.826,32,173,205,139,56,25,84,134,615
2012-13,36,DAL,NBA,SF,81,3,2093,372,855,.435,162,399,.406,210,456,.461,.530,182,223,.816,58,276,334,194,74,44,106,226,1088
2013-14,37,DAL,NBA,SG,81,0,1973,330,811,.407,146,371,.394,184,440,.418,.497,161,196,.821,67,217,284,212,61,35,108,209,967
2014-15,38,MEM,NBA,SG,66,1,1091,135,406,.333,69,232,.297,66,174,.379,.417,45,57,.789,27,106,133,79,43,14,43,102,384
2015-16,39,MEM,NBA,SG,1,0,16,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,1,1,0,1,0,1,2,3
Career,,,NBA,,1215,951,40347,8551,19455,.440,1879,5023,.374,6672,14432,.462,.488,4596,5751,.799,1524,4244,5768,4321,1324,758,2389,3406,23577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,403,401,15114,3541,7944,.446,554,1445,.383,2987,6499,.460,.481,1784,2277,.783,740,1351,2091,1553,534,415,928,1188,9420
5 seasons,,NJN,NBA,,374,369,14157,3126,6987,.447,638,1723,.370,2488,5264,.473,.493,1944,2404,.809,513,1639,2152,1762,435,187,923,1163,8834
3 seasons,,DAL,NBA,,223,43,5608,925,2208,.419,382,975,.392,543,1233,.440,.505,438,534,.820,157,666,823,545,191,104,298,569,2670
2 seasons,,ORL,NBA,,97,96,2974,559,1281,.436,146,402,.363,413,879,.470,.493,313,381,.822,44,339,383,300,73,21,142,259,1577
2 seasons,,MEM,NBA,,67,1,1107,136,410,.332,70,235,.298,66,175,.377,.417,45,57,.789,27,107,134,79,44,14,44,104,387
1 season,,PHO,NBA,,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689
