<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,21,BOS,NBA,SF,48,47,1632,284,647,.439,84,204,.412,200,443,.451,.504,139,195,.713,117,192,309,115,82,50,113,139,791
1999-00,22,BOS,NBA,SF,73,72,2583,486,1099,.442,96,280,.343,390,819,.476,.486,359,450,.798,83,313,396,221,152,62,178,237,1427
2000-01,23,BOS,NBA,SF,82,82,3120,687,1513,.454,147,384,.383,540,1129,.478,.503,550,738,.745,94,428,522,253,138,69,262,251,2071
2001-02&nbsp;★,24,BOS,NBA,SG,82,82,3302,707,1598,.442,210,520,.404,497,1078,.461,.508,520,643,.809,81,485,566,261,154,86,241,237,2144
2002-03&nbsp;★,25,BOS,NBA,SG,79,79,3096,663,1592,.416,118,391,.302,545,1201,.454,.454,604,753,.802,106,472,578,349,139,62,288,227,2048
2003-04&nbsp;★,26,BOS,NBA,SG,80,80,3099,602,1497,.402,115,384,.299,487,1113,.438,.441,517,631,.819,69,453,522,410,131,52,303,234,1836
2004-05&nbsp;★,27,BOS,NBA,SF,82,82,2960,556,1223,.455,108,292,.370,448,931,.481,.499,549,668,.822,78,461,539,348,133,39,230,255,1769
2005-06&nbsp;★,28,BOS,NBA,SF,79,79,3084,689,1462,.471,111,314,.354,578,1148,.503,.509,627,812,.772,77,453,530,375,107,34,273,223,2116
2006-07,29,BOS,NBA,SG,47,46,1740,373,850,.439,107,275,.389,266,575,.463,.502,320,402,.796,39,238,277,194,48,13,152,122,1173
2007-08&nbsp;★,30,BOS,NBA,SF,80,80,2874,509,1098,.464,143,365,.392,366,733,.499,.529,409,485,.843,53,358,411,363,101,36,221,200,1570
2008-09&nbsp;★,31,BOS,NBA,SF,81,81,3035,540,1181,.457,119,304,.391,421,877,.480,.508,459,553,.830,56,401,457,294,80,27,228,215,1658
2009-10&nbsp;★,32,BOS,NBA,SF,71,71,2411,409,867,.472,109,263,.414,300,604,.497,.535,369,433,.852,39,271,310,218,84,31,166,196,1296
2010-11&nbsp;★,33,BOS,NBA,SF,80,80,2774,507,1021,.497,111,297,.374,396,724,.547,.551,386,449,.860,34,396,430,260,80,51,171,231,1511
2011-12&nbsp;★,34,BOS,NBA,SF,61,61,2075,394,890,.443,100,273,.366,294,617,.476,.499,293,344,.852,37,280,317,274,70,26,173,147,1181
2012-13,35,BOS,NBA,SF,77,77,2575,476,1092,.436,145,382,.380,331,710,.466,.502,333,423,.787,45,442,487,370,84,30,214,210,1430
2013-14,36,BRK,NBA,SF,75,68,2098,321,712,.451,112,300,.373,209,412,.507,.529,256,310,.826,26,322,348,178,86,31,153,190,1010
2014-15,37,WAS,NBA,SF,73,73,1914,293,656,.447,118,303,.389,175,353,.496,.537,164,210,.781,45,249,294,144,46,24,92,160,868
2015-16,38,LAC,NBA,SF,18,3,347,27,85,.318,15,58,.259,12,27,.444,.406,17,20,.850,4,49,53,19,8,3,11,28,86
Career,,,NBA,,1268,1243,44719,8523,19083,.447,2068,5589,.370,6455,13494,.478,.501,6871,8519,.807,1083,6263,7346,4646,1723,726,3469,3502,25985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 seasons,,BOS,NBA,,1102,1099,40360,7882,17630,.447,1823,4928,.370,6059,12702,.477,.499,6434,7979,.806,1008,5643,6651,4305,1583,668,3213,3124,24021
1 season,,BRK,NBA,,75,68,2098,321,712,.451,112,300,.373,209,412,.507,.529,256,310,.826,26,322,348,178,86,31,153,190,1010
1 season,,WAS,NBA,,73,73,1914,293,656,.447,118,303,.389,175,353,.496,.537,164,210,.781,45,249,294,144,46,24,92,160,868
1 season,,LAC,NBA,,18,3,347,27,85,.318,15,58,.259,12,27,.444,.406,17,20,.850,4,49,53,19,8,3,11,28,86
